project,layer,target,pvalue,classification_type,weighted,minmax,dge_filtering,accuracy,f1_score,recall,precision,auc,auc_ovo,auc_ovr,f1_score_micro,recall_micro,precision_micro,f1_score_weighted,recall_weighted,precision_weighted
TCGA-LGG,mirna,vital_status,0.01,edge,True,,,0.7124183006535948,0.3714285714285714,0.3421052631578947,0.40625,0.6765446224256293,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,edge,True,0-1,,0.7254901960784313,0.3823529411764705,0.3421052631578947,0.4333333333333333,0.6919908466819221,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,edge,True,0.3-1,,0.7058823529411765,0.3661971830985915,0.3421052631578947,0.3939393939393939,0.6794050343249428,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,edge,True,0.5-1,,0.7124183006535948,0.3714285714285714,0.3421052631578947,0.40625,0.6766590389016018,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,edge,True,0.8-1,,0.7254901960784313,0.3823529411764705,0.3421052631578947,0.4333333333333333,0.6736842105263158,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,edge,False,,,0.7254901960784313,0.3823529411764705,0.3421052631578947,0.4333333333333333,0.6727688787185354,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,edge,False,0-1,,0.7254901960784313,0.3823529411764705,0.3421052631578947,0.4333333333333333,0.6727688787185354,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,edge,False,0.3-1,,0.7254901960784313,0.3823529411764705,0.3421052631578947,0.4333333333333333,0.6727688787185354,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,edge,False,0.5-1,,0.7254901960784313,0.3823529411764705,0.3421052631578947,0.4333333333333333,0.6727688787185354,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,edge,False,0.8-1,,0.7254901960784313,0.3823529411764705,0.3421052631578947,0.4333333333333333,0.6727688787185354,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,both,True,,,0.7254901960784313,0.3823529411764705,0.3421052631578947,0.4333333333333333,0.6729977116704806,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,both,True,0-1,,0.7254901960784313,0.3823529411764705,0.3421052631578947,0.4333333333333333,0.6929061784897025,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,both,True,0.3-1,,0.7058823529411765,0.3661971830985915,0.3421052631578947,0.3939393939393939,0.6796338672768879,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,both,True,0.5-1,,0.7124183006535948,0.3714285714285714,0.3421052631578947,0.40625,0.6750572082379862,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,both,True,0.8-1,,0.7254901960784313,0.3823529411764705,0.3421052631578947,0.4333333333333333,0.6729977116704806,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,both,False,,,0.7254901960784313,0.3823529411764705,0.3421052631578947,0.4333333333333333,0.6732265446224257,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,both,False,0-1,,0.7254901960784313,0.3823529411764705,0.3421052631578947,0.4333333333333333,0.6732265446224257,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,both,False,0.3-1,,0.7254901960784313,0.3823529411764705,0.3421052631578947,0.4333333333333333,0.6732265446224257,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,both,False,0.5-1,,0.7254901960784313,0.3823529411764705,0.3421052631578947,0.4333333333333333,0.6732265446224257,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,both,False,0.8-1,,0.7254901960784313,0.3823529411764705,0.3421052631578947,0.4333333333333333,0.6732265446224257,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,node,True,,,0.6993464052287581,0.303030303030303,0.2631578947368421,0.3571428571428571,0.4868421052631579,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,node,True,0-1,,0.6993464052287581,0.3235294117647059,0.2894736842105263,0.3666666666666666,0.5993135011441648,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,node,True,0.3-1,,0.7058823529411765,0.3283582089552239,0.2894736842105263,0.3793103448275862,0.5989702517162471,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,node,True,0.5-1,,0.7058823529411765,0.3283582089552239,0.2894736842105263,0.3793103448275862,0.5981693363844394,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,node,True,0.8-1,,0.6993464052287581,0.303030303030303,0.2631578947368421,0.3571428571428571,0.5990846681922197,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,node,False,,,0.6993464052287581,0.28125,0.2368421052631578,0.3461538461538461,0.5983981693363845,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,node,False,0-1,,0.6993464052287581,0.28125,0.2368421052631578,0.3461538461538461,0.5983981693363845,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,node,False,0.3-1,,0.6993464052287581,0.28125,0.2368421052631578,0.3461538461538461,0.5983981693363845,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,node,False,0.5-1,,0.6993464052287581,0.28125,0.2368421052631578,0.3461538461538461,0.5983981693363845,,,,,,,,
TCGA-LGG,mirna,vital_status,0.01,node,False,0.8-1,,0.6993464052287581,0.28125,0.2368421052631578,0.3461538461538461,0.5983981693363845,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,edge,True,,,0.7124183006535948,0.3714285714285714,0.3421052631578947,0.40625,0.6867276887871854,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,edge,True,0-1,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7018306636155607,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,edge,True,0.3-1,,0.7254901960784313,0.3823529411764705,0.3421052631578947,0.4333333333333333,0.6929061784897026,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,edge,True,0.5-1,,0.7124183006535948,0.3714285714285714,0.3421052631578947,0.40625,0.6910755148741418,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,edge,True,0.8-1,,0.7058823529411765,0.3661971830985915,0.3421052631578947,0.3939393939393939,0.6874141876430205,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,edge,False,,,0.7124183006535948,0.3714285714285714,0.3421052631578947,0.40625,0.6864988558352403,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,edge,False,0-1,,0.7124183006535948,0.3714285714285714,0.3421052631578947,0.40625,0.6864988558352403,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,edge,False,0.3-1,,0.7124183006535948,0.3714285714285714,0.3421052631578947,0.40625,0.6864988558352403,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,edge,False,0.5-1,,0.7124183006535948,0.3714285714285714,0.3421052631578947,0.40625,0.6864988558352403,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,edge,False,0.8-1,,0.7124183006535948,0.3714285714285714,0.3421052631578947,0.40625,0.6864988558352403,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,both,True,,,0.7058823529411765,0.3661971830985915,0.3421052631578947,0.3939393939393939,0.6858123569794051,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,both,True,0-1,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.699771167048055,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,both,True,0.3-1,,0.7254901960784313,0.3823529411764705,0.3421052631578947,0.4333333333333333,0.6931350114416476,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,both,True,0.5-1,,0.7124183006535948,0.3714285714285714,0.3421052631578947,0.40625,0.688329519450801,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,both,True,0.8-1,,0.7058823529411765,0.3661971830985915,0.3421052631578947,0.3939393939393939,0.6858123569794051,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,both,False,,,0.7124183006535948,0.3714285714285714,0.3421052631578947,0.40625,0.6851258581235697,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,both,False,0-1,,0.7124183006535948,0.3714285714285714,0.3421052631578947,0.40625,0.6851258581235697,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,both,False,0.3-1,,0.7124183006535948,0.3714285714285714,0.3421052631578947,0.40625,0.6851258581235697,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,both,False,0.5-1,,0.7124183006535948,0.3714285714285714,0.3421052631578947,0.40625,0.6851258581235697,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,both,False,0.8-1,,0.7124183006535948,0.3714285714285714,0.3421052631578947,0.40625,0.6851258581235697,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,node,True,,,0.6993464052287581,0.303030303030303,0.2631578947368421,0.3571428571428571,0.4868421052631579,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,node,True,0-1,,0.6993464052287581,0.3235294117647059,0.2894736842105263,0.3666666666666666,0.5993135011441648,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,node,True,0.3-1,,0.7058823529411765,0.3283582089552239,0.2894736842105263,0.3793103448275862,0.5989702517162471,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,node,True,0.5-1,,0.7058823529411765,0.3283582089552239,0.2894736842105263,0.3793103448275862,0.5981693363844394,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,node,True,0.8-1,,0.6993464052287581,0.303030303030303,0.2631578947368421,0.3571428571428571,0.5990846681922197,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,node,False,,,0.6993464052287581,0.28125,0.2368421052631578,0.3461538461538461,0.5983981693363845,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,node,False,0-1,,0.6993464052287581,0.28125,0.2368421052631578,0.3461538461538461,0.5983981693363845,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,node,False,0.3-1,,0.6993464052287581,0.28125,0.2368421052631578,0.3461538461538461,0.5983981693363845,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,node,False,0.5-1,,0.6993464052287581,0.28125,0.2368421052631578,0.3461538461538461,0.5983981693363845,,,,,,,,
TCGA-LGG,mirna,vital_status,0.001,node,False,0.8-1,,0.6993464052287581,0.28125,0.2368421052631578,0.3461538461538461,0.5983981693363845,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,edge,True,,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7020594965675057,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,edge,True,0-1,,0.738562091503268,0.4117647058823529,0.3684210526315789,0.4666666666666667,0.708466819221968,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,edge,True,0.3-1,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7061784897025173,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,edge,True,0.5-1,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7054919908466819,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,edge,True,0.8-1,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7041189931350115,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,edge,False,,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7020594965675058,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,edge,False,0-1,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7020594965675058,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,edge,False,0.3-1,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7020594965675058,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,edge,False,0.5-1,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7020594965675058,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,edge,False,0.8-1,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7020594965675058,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,both,True,,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7018306636155607,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,both,True,0-1,,0.738562091503268,0.4117647058823529,0.3684210526315789,0.4666666666666667,0.7061784897025171,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,both,True,0.3-1,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7045766590389015,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,both,True,0.5-1,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7048054919908467,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,both,True,0.8-1,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7018306636155607,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,both,False,,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7020594965675057,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,both,False,0-1,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7020594965675057,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,both,False,0.3-1,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7020594965675057,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,both,False,0.5-1,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7020594965675057,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,both,False,0.8-1,,0.7320261437908496,0.3880597014925373,0.3421052631578947,0.4482758620689655,0.7020594965675057,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,node,True,,,0.6993464052287581,0.303030303030303,0.2631578947368421,0.3571428571428571,0.4868421052631579,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,node,True,0-1,,0.6993464052287581,0.3235294117647059,0.2894736842105263,0.3666666666666666,0.5993135011441648,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,node,True,0.3-1,,0.7058823529411765,0.3283582089552239,0.2894736842105263,0.3793103448275862,0.5989702517162471,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,node,True,0.5-1,,0.7058823529411765,0.3283582089552239,0.2894736842105263,0.3793103448275862,0.5981693363844394,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,node,True,0.8-1,,0.6993464052287581,0.303030303030303,0.2631578947368421,0.3571428571428571,0.5990846681922197,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,node,False,,,0.6993464052287581,0.28125,0.2368421052631578,0.3461538461538461,0.5983981693363845,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,node,False,0-1,,0.6993464052287581,0.28125,0.2368421052631578,0.3461538461538461,0.5983981693363845,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,node,False,0.3-1,,0.6993464052287581,0.28125,0.2368421052631578,0.3461538461538461,0.5983981693363845,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,node,False,0.5-1,,0.6993464052287581,0.28125,0.2368421052631578,0.3461538461538461,0.5983981693363845,,,,,,,,
TCGA-LGG,mirna,vital_status,0.0001,node,False,0.8-1,,0.6993464052287581,0.28125,0.2368421052631578,0.3461538461538461,0.5983981693363845,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,edge,True,,,0.6818181818181818,0.5420560747663551,0.5576923076923077,0.5272727272727272,0.7300150829562595,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,edge,True,0-1,,0.7077922077922078,0.5945945945945946,0.6346153846153846,0.559322033898305,0.7345399698340875,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,edge,True,0.3-1,,0.6883116883116883,0.5636363636363636,0.5961538461538461,0.5344827586206896,0.7322775263951734,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,edge,True,0.5-1,,0.6753246753246753,0.5370370370370371,0.5576923076923077,0.5178571428571429,0.729260935143288,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,edge,True,0.8-1,,0.6818181818181818,0.5420560747663551,0.5576923076923077,0.5272727272727272,0.7266214177978884,,,,,,,,
TCGA-KIRC,mirna,vital_status,0.01,edge,False,,,0.6688311688311688,0.5233644859813084,0.5384615384615384,0.509090909090909,0.7249245852187028,,,,,,,,
