project,layer,target,pvalue,classification_type,weighted,minmax,dge_filtering,accuracy,accuracy_std,f1_score,f1_score_std,recall,recall_std,precision,precision_std,auc,auc_std,auc_ovo,auc_ovo_std,auc_ovr,auc_ovr_std,f1_score_micro,f1_score_micro_std,recall_micro,recall_micro_std,precision_micro,precision_micro_std,f1_score_weighted,f1_score_weighted_std,recall_weighted,recall_weighted_std,precision_weighted,precision_weighted_std
TCGA-COAD,mirna,primary_diagnosis,0.0001,both,False,0-1,N/A,0.7168852459016393,0.06836183511189285,0.4155919942126839,0.10569837532644843,0.6666666666666666,0.13608276348795434,0.3031800088456435,0.08635147548760147,0.7812049606167253,0.050079115695317304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-COAD,mirna,primary_diagnosis,0.0001,both,False,0.3-1,N/A,0.7168852459016393,0.06836183511189285,0.4155919942126839,0.10569837532644843,0.6666666666666666,0.13608276348795434,0.3031800088456435,0.08635147548760147,0.7812049606167253,0.050079115695317304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-COAD,mirna,primary_diagnosis,0.0001,both,False,0.5-1,N/A,0.7168852459016393,0.06836183511189285,0.4155919942126839,0.10569837532644843,0.6666666666666666,0.13608276348795434,0.3031800088456435,0.08635147548760147,0.7812049606167253,0.050079115695317304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-COAD,mirna,primary_diagnosis,0.0001,both,False,0.8-1,N/A,0.7168852459016393,0.06836183511189285,0.4155919942126839,0.10569837532644843,0.6666666666666666,0.13608276348795434,0.3031800088456435,0.08635147548760147,0.7812049606167253,0.050079115695317304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-COAD,mirna,primary_diagnosis,0.0001,both,False,N/A,N/A,0.7168852459016393,0.06836183511189285,0.4155919942126839,0.10569837532644843,0.6666666666666666,0.13608276348795434,0.3031800088456435,0.08635147548760147,0.7812049606167253,0.050079115695317304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-COAD,mirna,primary_diagnosis,0.0001,both,True,0-1,N/A,0.687103825136612,0.08605264886903623,0.3683303085299455,0.08973434974563019,0.6,0.12668615834434868,0.26934923515685766,0.07680438830938915,0.7700016758840288,0.06144547002380583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-COAD,mirna,primary_diagnosis,0.0001,both,True,0.3-1,N/A,0.7169398907103826,0.05953526207634911,0.4061724137931034,0.08978409166071062,0.6444444444444445,0.12171612389003691,0.2980009807126512,0.07419860613850232,0.7777693983576336,0.057969021448136065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-COAD,mirna,primary_diagnosis,0.0001,both,True,0.5-1,N/A,0.7136065573770491,0.06946352570125348,0.4130113490513935,0.10632985801242655,0.6666666666666666,0.13608276348795434,0.30058260624824096,0.08719933260477437,0.7812049606167253,0.05164995322468353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-COAD,mirna,primary_diagnosis,0.0001,both,True,0.8-1,N/A,0.7168852459016393,0.06836183511189285,0.4155919942126839,0.10569837532644843,0.6666666666666666,0.13608276348795434,0.3031800088456435,0.08635147548760147,0.779922909334674,0.05253543433764415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-COAD,mirna,primary_diagnosis,0.0001,both,True,N/A,N/A,0.7168852459016393,0.06836183511189285,0.4155919942126839,0.10569837532644843,0.6666666666666666,0.13608276348795434,0.3031800088456435,0.08635147548760147,0.779922909334674,0.05253543433764415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
